policy_seed,terrain_seed,ret
100,1,216.41856940569886
100,2,197.46873202481746
100,3,176.66876606301287
100,4,191.86454277424198
100,5,207.974748090262
100,6,255.07045574100042
100,7,214.3273221839109
100,8,245.98092199547668
100,9,145.47620187407077
100,10,208.70947283167465
100,11,214.48705434173894
100,12,251.006238096839
100,13,188.15489614244385
100,14,206.53673899720457
100,15,217.88905439416902
100,16,235.8764482398911
100,17,256.89205970267994
100,18,251.61703755846347
100,19,199.1152667934985
100,20,101.66388104280865
100,21,266.9302797058683
100,22,194.9740728319084
100,23,116.85183408712288
100,24,281.3067831652596
100,25,215.34834953016593
100,26,258.55201397112046
100,27,247.74744521561146
100,28,253.85869829895262
100,29,266.1803030761928
100,30,246.2021867988118
100,31,225.05324737297224
100,32,221.4473152376617
100,33,229.05377521420607
100,34,239.25252471768377
100,35,260.58342134648535
100,36,231.86510101533878
100,37,236.6724956774159
100,38,219.537690078766
100,39,237.56106901809784
100,40,234.19228823671875
100,41,191.5866197387042
100,42,213.39985123077577
100,43,-30.151667850982676
100,44,245.2610746757341
100,45,209.52728298736633
100,46,253.7852042638644
100,47,211.1995681317846
100,48,186.64984534311546
100,49,86.05361646620281
100,50,215.25107828465326
100,51,243.1344261020079
100,52,254.34388753422544
100,53,192.21382515744222
100,54,-13.609486120133852
100,55,257.47383043639707
100,56,264.68062801832826
100,57,267.1916738129373
100,58,248.00363951263748
100,59,109.24735986173307
100,60,192.20037839169885
100,61,181.58893342685667
100,62,207.41662686624525
100,63,238.18007893571468
100,64,243.14158128957374
100,65,255.16344353889244
100,66,246.43761772665087
100,67,231.14640365971349
100,68,247.15216512529472
100,69,244.79576786823733
100,70,260.95507186080613
100,71,212.72556426526995
100,72,206.23928064341396
100,73,202.96038857245355
100,74,206.27471873131702
100,75,259.08258418246277
100,76,217.2560208236266
100,77,123.44792046650257
100,78,218.29735138206894
100,79,249.13793868202453
100,80,212.53800085420676
100,81,220.73667078933548
100,82,259.51734284568977
100,83,198.0404734807811
100,84,209.67007820269828
100,85,260.65995639234905
100,86,88.42397104613559
100,87,136.93245723757778
100,88,216.46695495978366
100,89,247.77225917015687
100,90,193.06961537776672
100,91,212.7867570231557
100,92,183.88542880327526
100,93,230.13190624842554
100,94,252.48359829012688
100,95,214.65319717456646
100,96,236.71231618378675
100,97,213.86565441418227
100,98,218.6837779046185
100,99,214.06354842670913
100,100,196.4941459548832
100,101,232.2450596024321
100,102,229.2008388414504
100,103,217.46619555729777
100,104,227.34871251414623
100,105,100.57678252475597
100,106,271.8644048037839
100,107,262.30828102567176
100,108,218.96199333487647
100,109,223.6114286645072
100,110,236.57580735050863
100,111,248.63413568107958
100,112,258.6567340912861
100,113,229.473778407915
100,114,206.348931542491
100,115,222.40850995690255
100,116,246.12389771350308
100,117,265.57703209366224
100,118,211.07561346450018
100,119,225.8428037428358
100,120,207.79935253889425
100,121,251.42105040925088
100,122,206.3235607776319
100,123,247.31902245362392
100,124,263.79438128290326
100,125,232.45485991586713
100,126,245.20124878336372
100,127,250.37892263477562
100,128,237.81517833770513
100,129,240.53626771053177
100,130,217.5510406669245
100,131,236.96477732619047
100,132,242.94901366994546
100,133,227.1896282803
100,134,255.95303650758012
100,135,254.503918905046
100,136,88.85479838328727
100,137,229.3337837074124
100,138,229.94214655104642
100,139,246.47663305751485
100,140,241.34196201242887
100,141,-6.959739431822626
100,142,223.10102437168553
100,143,216.83130262752627
100,144,256.5628200852181
100,145,216.3047827037548
100,146,236.30620205109565
100,147,269.2683420240867
100,148,269.8968727681345
100,149,252.00079549998225
100,150,234.01689894647973
100,151,191.45092527469265
100,152,118.71257232603722
100,153,251.0153013542225
100,154,238.77231488915007
100,155,243.80736223337223
100,156,114.5976314902531
100,157,217.66344024182592
100,158,229.11858936117545
